filename,label
44m_022.wav,Severe
44m_309.wav,Mild
44m_066.wav,Severe
29mb_102.wav,Mild
46mb_039.wav,Severe
50fb_010.wav,Severe
57m_041.wav,Mild
35mb_039.wav,Mild
35mb_060.wav,Mild
27ma_032.wav,Mild
44m_169.wav,Mild
29mc_022.wav,Severe
29ma_055.wav,Severe
24fc_112.wav,Mild
50fa_008.wav,Moderate
44m_287.wav,Mild
508_095.wav,Severe
507_031.wav,Severe
54m_088.wav,Moderate
503_037.wav,Severe
25m_064.wav,Severe
24fc_049.wav,Severe
54m_034.wav,Severe
62m_000.wav,Mild
64m_002.wav,Mild
28m_019.wav,Severe
34m_006.wav,Severe
508_041.wav,Moderate
54f_095.wav,Severe
29mb_044.wav,Severe
50fa_116.wav,Mild
44m_164.wav,Mild
46ma_019.wav,Mild
43m_029.wav,Severe
54f_012.wav,Mild
50fa_179.wav,Mild
29mb_057.wav,Severe
54f_017.wav,Mild
44m_327.wav,Moderate
24fb_018.wav,Severe
57m_079.wav,Mild
35mb_012.wav,Mild
57m_086.wav,Mild
54f_032.wav,Severe
54f_005.wav,Severe
64m_026.wav,Moderate
44m_026.wav,Severe
44m_219.wav,Severe
62f_023.wav,Mild
507_033.wav,Severe
54f_087.wav,Severe
29ma_079.wav,Severe
24mb_099.wav,Mild
60m_100.wav,Severe
24mb_039.wav,Mild
60m_091.wav,Mild
26f_033.wav,Mild
50fa_092.wav,Mild
24fc_102.wav,Severe
24fa_080.wav,Mild
24fa_041.wav,Severe
508_018.wav,Mild
54m_038.wav,Mild
57m_010.wav,Mild
60m_023.wav,Mild
24mb_073.wav,Mild
24fa_089.wav,Mild
46mb_033.wav,Severe
50fa_031.wav,Severe
27ma_033.wav,Mild
60m_053.wav,Mild
68m_091.wav,Mild
35mb_108.wav,Severe
46mb_002.wav,Mild
54m_039.wav,Mild
60m_124.wav,Mild
57m_036.wav,Severe
509_014.wav,Mild
43m_046.wav,Severe
25m_054.wav,Severe
44m_134.wav,Mild
28m_054.wav,Severe
44m_312.wav,Severe
54m_022.wav,Severe
44m_133.wav,Mild
508_138.wav,Severe
24fb_026.wav,Severe
29mc_034.wav,Severe
24mb_034.wav,Mild
50fa_015.wav,Severe
50fb_058.wav,Mild
508_027.wav,Mild
44m_085.wav,Severe
26f_034.wav,Moderate
68m_043.wav,Mild
50fa_106.wav,Moderate
26m_004.wav,Moderate
60m_138.wav,Mild
44m_361.wav,Mild
43m_062.wav,Mild
24mb_139.wav,Severe
34m_095.wav,Severe
35ma_005.wav,Severe
39f_028.wav,Mild
50fb_049.wav,Severe
46ma_018.wav,Mild
57m_084.wav,Mild
62m_035.wav,Mild
57m_038.wav,Mild
29mb_009.wav,Severe
35mb_071.wav,Mild
54m_025.wav,Severe
24fa_005.wav,Severe
29ma_011.wav,Mild
27ma_026.wav,Severe
